,compound_1,compound_2,label
6581,DB01577,P08913,1.0
6582,DB01577,P18089,1.0
6583,DB01577,P18825,1.0
6584,DB01577,P21397,1.0
6585,DB01577,P27338,1.0
6586,DB01579,P35348,1.0
6587,DB01579,P23975,1.0
6588,DB01579,P35368,1.0
6589,DB01580,P08588,1.0
6590,DB01580,P07550,1.0
6591,DB01580,P13945,1.0
6592,DB01581,P0AC13,1.0
6593,DB01582,P0AC13,1.0
6594,DB01583,P10827,1.0
6595,DB01583,P10828,1.0
6596,DB01586,P52895,1.0
6597,DB01586,Q96RI1,1.0
6598,DB01587,P14867,1.0
6599,DB01587,P47869,1.0
6600,DB01587,P34903,1.0
6601,DB01587,P48169,1.0
6602,DB01587,P31644,1.0
6603,DB01587,Q16445,1.0
6604,DB01587,P18505,1.0
6605,DB01587,P47870,1.0
6606,DB01587,P28472,1.0
6607,DB01587,O14764,1.0
6608,DB01587,P78334,1.0
6609,DB01587,Q8N1C3,1.0
6610,DB01587,P18507,1.0
6611,DB01587,Q99928,1.0
6612,DB01587,O00591,1.0
6613,DB01587,Q9UN88,1.0
6614,DB01587,P14867,1.0
6615,DB01587,P47869,1.0
6616,DB01587,P34903,1.0
6617,DB01587,P31644,1.0
6618,DB01587,Q8N1C3,1.0
6619,DB01587,P18507,1.0
6620,DB01587,Q99928,1.0
6621,DB01588,P14867,1.0
6622,DB01588,P47869,1.0
6623,DB01588,P34903,1.0
6624,DB01588,P48169,1.0
6625,DB01588,P31644,1.0
6626,DB01588,Q16445,1.0
6627,DB01588,P18505,1.0
6628,DB01588,P47870,1.0
6629,DB01588,P28472,1.0
6630,DB01588,O14764,1.0
6631,DB01588,P78334,1.0
6632,DB01588,Q8N1C3,1.0
6633,DB01588,P18507,1.0
6634,DB01588,Q99928,1.0
6635,DB01588,O00591,1.0
6636,DB01588,Q9UN88,1.0
6637,DB01588,P14867,1.0
6638,DB01588,P47869,1.0
6639,DB01588,P34903,1.0
6640,DB01588,P31644,1.0
6641,DB01588,Q8N1C3,1.0
6642,DB01588,P18507,1.0
6643,DB01588,Q99928,1.0
6644,DB01589,P14867,1.0
6645,DB01589,P47869,1.0
6646,DB01589,P34903,1.0
6647,DB01589,P48169,1.0
6648,DB01589,P31644,1.0
6649,DB01589,Q16445,1.0
6650,DB01589,P18505,1.0
6651,DB01589,P47870,1.0
6652,DB01589,P28472,1.0
6653,DB01589,O14764,1.0
6654,DB01589,P78334,1.0
6655,DB01589,Q8N1C3,1.0
6656,DB01589,P18507,1.0
6657,DB01589,Q99928,1.0
6658,DB01589,O00591,1.0
6659,DB01589,Q9UN88,1.0
6660,DB01589,P14867,1.0
6661,DB01589,P47869,1.0
6662,DB01589,P34903,1.0
6663,DB01589,P31644,1.0
6664,DB01589,Q8N1C3,1.0
6665,DB01589,P18507,1.0
6666,DB01589,Q99928,1.0
6667,DB01590,P42345,1.0
6668,DB01591,P20309,1.0
6669,DB01591,P11229,1.0
6670,DB01591,P08172,1.0
6671,DB01591,P08173,1.0
6672,DB01591,P08912,1.0
6673,DB01592,P02786,1.0
6674,DB01592,Q9GZT9,1.0
6675,DB01592,Q9BY41,1.0
6676,DB01592,Q9NZD4,1.0
6677,DB01592,P69905,1.0
6678,DB01592,Q16595,1.0
6679,DB01592,P02794,1.0
6680,DB01592,P39748,1.0
6681,DB01592,Q96FI4,1.0
6682,DB01592,Q969S2,1.0
6683,DB01592,P06746,1.0
6684,DB01592,P00450,1.0
6685,DB01592,P02787,1.0
6686,DB01593,P46663,1.0
6687,DB01593,P16455,1.0
6688,DB01593,P04075,1.0
6689,DB01593,P68104,1.0
6690,DB01593,P06733,1.0
6691,DB01593,O14556,1.0
6692,DB01593,P15531,1.0
6693,DB01593,P07237,1.0
6694,DB01593,P30101,1.0
6695,DB01593,Q06830,1.0
6696,DB01593,P78330,1.0
6697,DB01593,P60174,1.0
6698,DB01593,P49411,1.0
6699,DB01593,P03372,1.0
6700,DB01593,P08700,1.0
6701,DB01593,P02795,1.0
6702,DB01593,O14618,1.0
6703,DB01593,Q13547,1.0
6704,DB01593,P56524,1.0
6705,DB01593,P29372,1.0
6706,DB01593,P04279,1.0
6707,DB01593,P00441,1.0
6708,DB01593,Q9BY41,1.0
6709,DB01593,O15304,1.0
6710,DB01593,P23415,1.0
6711,DB01593,Q00987,1.0
6712,DB01593,P01308,1.0
6713,DB01593,P46939,1.0
6714,DB01593,P45381,1.0
6715,DB01593,P05109,1.0
6716,DB01593,P06702,1.0
6717,DB01593,P14780,1.0
6718,DB01593,O15350,1.0
6719,DB01593,P29034,1.0
6720,DB01593,P04637,1.0
6721,DB01593,P25713,1.0
6722,DB01593,O75340,1.0
6723,DB01593,Q8N907,1.0
6724,DB01593,P04731,1.0
6725,DB01593,P04217,1.0
6726,DB01593,P01023,1.0
6727,DB01593,P01019,1.0
6728,DB01593,P02765,1.0
6729,DB01593,P02743,1.0
6730,DB01593,P02647,1.0
6731,DB01593,P02652,1.0
6732,DB01593,P06727,1.0
6733,DB01593,Q0VD83,1.0
6734,DB01593,P02649,1.0
6735,DB01593,O14791,1.0
6736,DB01593,P02746,1.0
6737,DB01593,P02747,1.0
6738,DB01593,P00736,1.0
6739,DB01593,P09871,1.0
6740,DB01593,P01024,1.0
6741,DB01593,P0C0L5,1.0
6742,DB01593,P04003,1.0
6743,DB01593,P20851,1.0
6744,DB01593,P01031,1.0
6745,DB01593,P46736,1.0
6746,DB01593,P07357,1.0
6747,DB01593,P07358,1.0
6748,DB01593,P07360,1.0
6749,DB01593,P00751,1.0
6750,DB01593,P08603,1.0
6751,DB01593,P05156,1.0
6752,DB01593,P10909,1.0
6753,DB01593,P00450,1.0
6754,DB01593,P15169,1.0
6755,DB01593,P22792,1.0
6756,DB01593,P81605,1.0
6757,DB01593,P15924,1.0
6758,DB01593,P00748,1.0
6759,DB01593,P05160,1.0
6760,DB01593,P00734,1.0
6761,DB01593,O75636,1.0
6762,DB01593,P02671,1.0
6763,DB01593,P02751,1.0
6764,DB01593,P06396,1.0
6765,DB01593,P69905,1.0
6766,DB01593,P68871,1.0
6767,DB01593,P00739,1.0
6768,DB01593,Q86YZ3,1.0
6769,DB01593,P35858,1.0
6770,DB01593,P01876,1.0
6771,DB01593,P01871,1.0
6772,DB01593,P01599,1.0
6773,DB01593,P01619,1.0
6774,DB01593,P80748,1.0
6775,DB01593,P19827,1.0
6776,DB01593,P19823,1.0
6777,DB01593,Q06033,1.0
6778,DB01593,Q14624,1.0
6779,DB01593,P01591,1.0
6780,DB01593,P14923,1.0
6781,DB01593,P03952,1.0
6782,DB01593,P01042,1.0
6783,DB01593,P04264,1.0
6784,DB01593,P13645,1.0
6785,DB01593,P02533,1.0
6786,DB01593,P08779,1.0
6787,DB01593,P35908,1.0
6788,DB01593,P13647,1.0
6789,DB01593,P02538,1.0
6790,DB01593,P35527,1.0
6791,DB01593,P19652,1.0
6792,DB01593,Q96PD5,1.0
6793,DB01593,P27169,1.0
6794,DB01593,P20742,1.0
6795,DB01593,P31151,1.0
6796,DB01593,P49908,1.0
6797,DB01593,P01009,1.0
6798,DB01593,P01011,1.0
6799,DB01593,P29622,1.0
6800,DB01593,P08185,1.0
6801,DB01593,P05546,1.0
6802,DB01593,P04278,1.0
6803,DB01593,P02787,1.0
6804,DB01593,P02766,1.0
6805,DB01593,P04004,1.0
6806,DB01593,P51693,1.0
6807,DB01593,Q06481,1.0
6808,DB01593,P05067,1.0
6809,DB01593,P09874,1.0
6810,DB01595,P14867,1.0
6811,DB01595,P47869,1.0
6812,DB01595,P34903,1.0
6813,DB01595,P48169,1.0
6814,DB01595,P31644,1.0
6815,DB01595,Q16445,1.0
6816,DB01595,P18505,1.0
6817,DB01595,P47870,1.0
6818,DB01595,P28472,1.0
6819,DB01595,O14764,1.0
6820,DB01595,P78334,1.0
6821,DB01595,Q8N1C3,1.0
6822,DB01595,P18507,1.0
6823,DB01595,Q99928,1.0
6824,DB01595,O00591,1.0
6825,DB01595,Q9UN88,1.0
6826,DB01595,P14867,1.0
6827,DB01595,P47869,1.0
6828,DB01595,P34903,1.0
6829,DB01595,P31644,1.0
6830,DB01595,Q8N1C3,1.0
6831,DB01595,P18507,1.0
6832,DB01595,Q99928,1.0
6833,DB01595,P35498,1.0
6834,DB01597,P16444,1.0
6835,DB01598,P0AD65,1.0
6836,DB01598,P02919,1.0
6837,DB01598,P02918,1.0
6838,DB01598,P42971,1.0
6839,DB01598,P72355,1.0
6840,DB01599,O95477,1.0
6841,DB01599,P23141,1.0
6842,DB01600,P35354,1.0
6843,DB01600,P23219,1.0
6844,DB01601,Q72874,1.0
6845,DB01602,P0AEB2,1.0
6846,DB01602,P24228,1.0
6847,DB01602,P08506,1.0
6848,DB01602,P02918,1.0
6849,DB01602,P02919,1.0
6850,DB01602,P0AD65,1.0
6851,DB01602,P0AD68,1.0
6852,DB01603,Q53707,1.0
6853,DB01603,Q8DNB6,1.0
6854,DB01603,Q7CRA4,1.0
6855,DB01603,P0A3M6,1.0
6856,DB01603,Q75Y35,1.0
6857,DB01603,Q8DR59,1.0
6858,DB01604,Q8XJ01,1.0
6859,DB01605,Q8XJ01,1.0
6860,DB01606,P62594,1.0
6861,DB01606,P18251,1.0
6862,DB01606,P0AD63,1.0
6863,DB01607,C1KC03,1.0
6864,DB01608,P21728,1.0
6865,DB01608,P08913,1.0
6866,DB01608,P35368,1.0
6867,DB01608,P10275,1.0
6868,DB01611,Q9NYK1,1.0
6869,DB01611,Q9NR96,1.0
6870,DB01611,Q9BYF1,1.0
6871,DB01612,P16066,1.0
6872,DB01613,P16066,1.0
6873,DB01613,P20594,1.0
6874,DB01616,P08908,1.0
6875,DB01618,P14416,1.0
6876,DB01618,P08908,1.0
6877,DB01618,P28223,1.0
6878,DB01618,P11229,1.0
6879,DB01619,P35367,1.0
6880,DB01620,P35367,1.0
6881,DB01620,Q14994,1.0
6882,DB01620,Q9H3N8,1.0
6883,DB01621,P14416,1.0
6884,DB01621,P21728,1.0
6885,DB01621,P28223,1.0
6886,DB01621,P08908,1.0
6887,DB01623,P14416,1.0
6888,DB01623,P21728,1.0
6889,DB01623,P28223,1.0
6890,DB01624,P21728,1.0
6891,DB01624,P21918,1.0
6892,DB01624,P14416,1.0
6893,DB01624,P35348,1.0
6894,DB01624,P08913,1.0
6895,DB01624,P28223,1.0
6896,DB01624,P35367,1.0
6897,DB01625,P20309,1.0
6898,DB01625,P08173,1.0
6899,DB01626,P27338,1.0
6900,DB01626,P21397,1.0
6901,DB01627,P0A7J6,1.0
6902,DB01628,P35354,1.0
6903,DB01632,P00492,1.0
6904,DB01632,P07741,1.0
6905,DB01632,P08870,1.0
6906,DB01632,Q27796,1.0
6907,DB01632,Q8VP84,1.0
6908,DB01632,Q9NWZ5,1.0
6909,DB01656,Q07343,1.0
6910,DB01656,P27815,1.0
6911,DB01656,Q08499,1.0
6912,DB01656,Q08493,1.0
6913,DB01698,P42330,1.0
6914,DB01698,P16152,1.0
6915,DB01708,Q92731,1.0
6916,DB01708,P03372,1.0
6917,DB01708,P14867,1.0
6918,DB01708,P47869,1.0
6919,DB01708,P34903,1.0
6920,DB01708,P48169,1.0
6921,DB01708,P31644,1.0
6922,DB01708,Q16445,1.0
6923,DB01708,P18505,1.0
6924,DB01708,P47870,1.0
6925,DB01708,P28472,1.0
6926,DB01708,O14764,1.0
6927,DB01708,P78334,1.0
6928,DB01708,Q8N1C3,1.0
6929,DB01708,P18507,1.0
6930,DB01708,Q99928,1.0
6931,DB01708,O00591,1.0
6932,DB01708,Q9UN88,1.0
6933,DB01708,Q05586,1.0
6934,DB01708,Q12879,1.0
6935,DB01708,Q13224,1.0
6936,DB01708,Q14957,1.0
6937,DB01708,O15399,1.0
6938,DB01708,Q8TCU5,1.0
6939,DB01708,O60391,1.0
6940,DB01708,P10275,1.0
6941,DB01708,Q07869,1.0
6942,DB01708,Q99720,1.0
6943,DB01708,O75469,1.0
6944,DB01708,Q14994,1.0
6945,DB01718,Q79FX6,1.0
6946,DB01718,P9WPB7,1.0
6947,DB01744,P00183,1.0
6948,DB01744,Q8NER1,1.0
6949,DB01744,Q8NET8,1.0
6950,DB01744,O75762,1.0
6951,DB01744,Q7Z2W7,1.0
6952,DB01764,P50870,1.0
6953,DB01783,P0A6I3,1.0
6954,DB01839,Q8GEZ8,1.0
6955,DB01956,P37610,1.0
6956,DB01956,P54965,1.0
6957,DB01956,P23415,1.0
6958,DB01956,Q13224,1.0
6959,DB01956,P23416,1.0
6960,DB01956,O75311,1.0
6961,DB01956,P14867,1.0
6962,DB01956,P47869,1.0
6963,DB01956,P34903,1.0
6964,DB01956,P48169,1.0
6965,DB01956,P31644,1.0
6966,DB01956,Q16445,1.0
6967,DB01956,P18505,1.0
6968,DB01956,P47870,1.0
6969,DB01956,P28472,1.0
6970,DB01956,O14764,1.0
6971,DB01956,P78334,1.0
6972,DB01956,Q8N1C3,1.0
6973,DB01956,P18507,1.0
6974,DB01956,Q99928,1.0
6975,DB01956,O00591,1.0
6976,DB01956,Q9UN88,1.0
6977,DB01956,Q9UBS5,1.0
6978,DB01987,P27696,1.0
6979,DB01987,P0AFG8,1.0
6980,DB01987,P94692,1.0
6981,DB01987,P23234,1.0
6982,DB01987,Q9LCV9,1.0
6983,DB01987,P27302,1.0
6984,DB02266,P35354,1.0
6985,DB02266,P23219,1.0
6986,DB02266,P42330,1.0
6987,DB02266,P10275,1.0
6988,DB02266,Q07869,1.0
6989,DB02266,P37231,1.0
6990,DB02300,P11473,1.0
6991,DB02362,P00438,1.0
6992,DB02362,P20586,1.0
6993,DB02530,P50440,1.0
6994,DB02530,Q9UBS5,1.0
6995,DB02530,O75899,1.0
6996,DB02546,Q9BY41,1.0
6997,DB02546,Q13547,1.0
6998,DB02546,Q92769,1.0
6999,DB02546,O15379,1.0
7000,DB02546,Q9UBN7,1.0
7001,DB02546,O67135,1.0
7002,DB02638,P37288,1.0
7003,DB02638,P30518,1.0
7004,DB02638,P47901,1.0
7005,DB02659,P22830,1.0
7006,DB02659,P00326,1.0
7007,DB02659,P62508,1.0
7008,DB02659,P51161,1.0
7009,DB02659,P13073,1.0
7010,DB02659,P00395,1.0
7011,DB02659,P00403,1.0
7012,DB02659,P00414,1.0
7013,DB02659,P20674,1.0
7014,DB02659,P10606,1.0
7015,DB02659,P09669,1.0
7016,DB02659,P24311,1.0
7017,DB02659,P15954,1.0
7018,DB02659,P10176,1.0
7019,DB02659,Q02221,1.0
7020,DB02659,P14854,1.0
7021,DB02659,P24310,1.0
7022,DB02659,P04054,1.0
7023,DB02659,P23141,1.0
7024,DB02659,Q7KZA3,1.0
7025,DB02659,P54965,1.0
7026,DB02659,Q96RI1,1.0
7027,DB02659,Q8TDU6,1.0
7028,DB02701,P00338,1.0
7029,DB02701,Q10588,1.0
7030,DB02701,P09874,1.0
7031,DB02701,P11439,1.0
7032,DB02701,Q9NXA8,1.0
7033,DB02703,P13551,1.0
7034,DB02703,P62580,1.0
7035,DB02703,P00484,1.0
7036,DB02772,P00811,1.0
7037,DB02772,P68133,1.0
7038,DB02772,Q9L5C8,1.0
7039,DB02772,P05655,1.0
7040,DB02772,Q59976,1.0
7041,DB02772,Q9ZEU2,1.0
7042,DB02772,Q939N4,1.0
7043,DB02772,Q9L5C7,1.0
7044,DB02772,Q840M4,1.0
7045,DB02772,P71119,1.0
7046,DB02772,O00244,1.0
7047,DB02772,P83689,1.0
7048,DB02772,P22340,1.0
7049,DB02772,P61626,1.0
7050,DB02772,Q9Y3I0,1.0
7051,DB02772,Q8TE23,1.0
7052,DB02789,O00204,1.0
7053,DB02789,O75469,1.0
7054,DB02893,P50579,1.0
7055,DB02893,Q9KQN0,1.0
7056,DB02925,Q13621,1.0
7057,DB02959,Q9RVD6,1.0
7058,DB03017,P11766,1.0
7059,DB03017,P0A953,1.0
7060,DB03017,P06971,1.0
7061,DB03017,P17900,1.0
7062,DB03017,P9WNG3,1.0
7063,DB03017,Q82122,1.0
7064,DB03017,P23008,1.0
7065,DB03017,P04936,1.0
7066,DB03017,P41235,1.0
7067,DB03017,P14555,1.0
7068,DB03017,P98155,1.0
7069,DB03017,Q9NZD2,1.0
7070,DB03017,P0AAI5,1.0
7071,DB03017,P02788,1.0
7072,DB03017,P02929,1.0
7073,DB03017,P07360,1.0
7074,DB03017,Q9UNK4,1.0
7075,DB03017,Q9I194,1.0
7076,DB03017,Q9Y6Y9,1.0
7077,DB03017,O00206,1.0
7078,DB03017,Q07869,1.0
7079,DB03085,P11413,1.0
7080,DB03088,P15692,1.0
7081,DB03088,P04746,1.0
7082,DB03088,O68601,1.0
7083,DB03088,P00091,1.0
7084,DB03088,P01709,1.0
7085,DB03088,Q7SIE2,1.0
7086,DB03088,P80075,1.0
7087,DB03088,P00138,1.0
7088,DB03088,Q9UKQ2,1.0
7089,DB03088,O43612,1.0
7090,DB03088,P19961,1.0
7091,DB03088,Q03403,1.0
7092,DB03088,P0CG04,1.0
7093,DB03088,Q701N4,1.0
7094,DB03128,P22303,1.0
7095,DB03128,P11229,1.0
7096,DB03128,P08172,1.0
7097,DB03128,P20309,1.0
7098,DB03128,P08173,1.0
7099,DB03128,P36544,1.0
7100,DB03147,P29475,1.0
7101,DB03147,P06149,1.0
7102,DB03147,P00387,1.0
7103,DB03147,P16083,1.0
7104,DB03147,P06715,1.0
7105,DB03147,P26440,1.0
7106,DB03147,Q9UKU7,1.0
7107,DB03147,P00390,1.0
7108,DB03147,P09622,1.0
7109,DB03147,P16219,1.0
7110,DB03147,Q12882,1.0
7111,DB03147,O95831,1.0
7112,DB03147,P15559,1.0
7113,DB03147,P22637,1.0
7114,DB03147,P40859,1.0
7115,DB03147,P37063,1.0
7116,DB03147,P9WIQ3,1.0
7117,DB03147,Q9WYT0,1.0
7118,DB03147,P83223,1.0
7119,DB03147,P00438,1.0
7120,DB03147,P20586,1.0
7121,DB03147,P12676,1.0
7122,DB03147,P28593,1.0
7123,DB03147,O31616,1.0
7124,DB03147,P39662,1.0
7125,DB03147,P37747,1.0
7126,DB03147,P11310,1.0
7127,DB03147,Q56839,1.0
7128,DB03147,P09546,1.0
7129,DB03147,Q92947,1.0
7130,DB03147,P42593,1.0
7131,DB03147,P61497,1.0
7132,DB03147,Q16881,1.0
7133,DB03147,P0C278,1.0
7134,DB03147,P0AEZ1,1.0
7135,DB03147,P0A9P4,1.0
7136,DB03147,P27338,1.0
7137,DB03147,P21397,1.0
7138,DB03147,P47989,1.0
7139,DB03147,P16435,1.0
7140,DB03147,Q52437,1.0
7141,DB03147,P37062,1.0
7142,DB03147,P09063,1.0
7143,DB03147,Q9LAG2,1.0
7144,DB03147,Q7SID9,1.0
7145,DB03147,Q9Z4P0,1.0
7146,DB03147,P24232,1.0
7147,DB03147,Q06319,1.0
7148,DB03147,Q9AGP8,1.0
7149,DB03147,P21890,1.0
7150,DB03147,P38038,1.0
7151,DB03147,Q44532,1.0
7152,DB03147,P18925,1.0
7153,DB03147,Q888A4,1.0
7154,DB03147,P00914,1.0
7155,DB03147,P05327,1.0
7156,DB03147,P10902,1.0
7157,DB03147,P77967,1.0
7158,DB03147,P08373,1.0
7159,DB03147,P61432,1.0
7160,DB03147,Q9RA47,1.0
7161,DB03147,P16640,1.0
7162,DB03147,P9WHH7,1.0
7163,DB03147,P9WIQ1,1.0
7164,DB03147,P55792,1.0
7165,DB03147,P09788,1.0
7166,DB03147,P19480,1.0
7167,DB03147,Q51225,1.0
7168,DB03147,Q94655,1.0
7169,DB03147,Q47PU3,1.0
7170,DB03147,P07771,1.0
7171,DB03147,Q72JJ3,1.0
7172,DB03147,Q9KIE5,1.0
7173,DB03147,P14218,1.0
7174,DB03147,P35340,1.0
7175,DB03147,P58558,1.0
7176,DB03147,P28861,1.0
7177,DB03147,Q9RC23,1.0
7178,DB03147,Q15067,1.0
7179,DB03147,P14920,1.0
7180,DB03147,P22570,1.0
7181,DB03147,Q9UHQ9,1.0
7182,DB03147,Q96RQ9,1.0
7183,DB03147,Q86YB8,1.0
7184,DB03147,P55789,1.0
7185,DB03147,Q16795,1.0
7186,DB03175,P61626,1.0
7187,DB03193,Q9UNK4,1.0
7188,DB03193,Q07869,1.0
7189,DB03247,P29475,1.0
7190,DB03247,Q9NVS9,1.0
7191,DB03247,Q969G6,1.0
7192,DB03247,Q02127,1.0
7193,DB03247,P30043,1.0
7194,DB03247,P17117,1.0
7195,DB03247,Q12882,1.0
7196,DB03247,P46072,1.0
7197,DB03247,P0A7E1,1.0
7198,DB03247,P38489,1.0
7199,DB03247,P00322,1.0
7200,DB03247,P0A2Y7,1.0
7201,DB03247,P42593,1.0
7202,DB03247,Q53ZE5,1.0
7203,DB03247,P0AFI7,1.0
7204,DB03247,P16435,1.0
7205,DB03247,P71278,1.0
7206,DB03247,Q9WZW1,1.0
7207,DB03247,Q9FDN7,1.0
7208,DB03247,P41407,1.0
7209,DB03247,Q56691,1.0
7210,DB03247,P00323,1.0
7211,DB03247,P55038,1.0
7212,DB03247,O69755,1.0
7213,DB03247,P63462,1.0
7214,DB03247,P30197,1.0
7215,DB03247,P56122,1.0
7216,DB03247,P0A3D9,1.0
7217,DB03247,P10340,1.0
7218,DB03247,Q8DW21,1.0
7219,DB03247,O34974,1.0
7220,DB03247,Q9WXV1,1.0
7221,DB03247,P50618,1.0
7222,DB03247,P69772,1.0
7223,DB03247,P20932,1.0
7224,DB03247,O07529,1.0
7225,DB03247,Q9ZK53,1.0
7226,DB03247,Q01234,1.0
7227,DB03247,Q746I8,1.0
7228,DB03247,P16099,1.0
7229,DB03247,Q9F0J6,1.0
7230,DB03247,Q51990,1.0
7231,DB03247,Q51793,1.0
7232,DB03247,Q9RYU4,1.0
7233,DB03247,P61949,1.0
7234,DB03247,P50740,1.0
7235,DB03247,Q60049,1.0
7236,DB03247,Q46604,1.0
7237,DB03247,Q81EW9,1.0
7238,DB03247,Q96CD2,1.0
7239,DB03247,Q9UJM8,1.0
7240,DB03247,O00141,1.0
7241,DB03247,Q9NYQ3,1.0
7242,DB03247,O75676,1.0
7243,DB03255,P00800,1.0
7244,DB03255,P02768,1.0
7245,DB03310,P00390,1.0
7246,DB03310,P28161,1.0
7247,DB03310,O75715,1.0
7248,DB03310,P07203,1.0
7249,DB03310,P18283,1.0
7250,DB03310,P22352,1.0
7251,DB03310,P59796,1.0
7252,DB03310,Q96SL4,1.0
7253,DB03310,P36969,1.0
7254,DB03310,Q8TED1,1.0
7255,DB03310,P10620,1.0
7256,DB03310,P08263,1.0
7257,DB03310,P09210,1.0
7258,DB03310,P09488,1.0
7259,DB03310,P28161,1.0
7260,DB03310,P21266,1.0
7261,DB03310,Q03013,1.0
7262,DB03310,P46439,1.0
7263,DB03310,P09211,1.0
7264,DB03310,P30711,1.0
7265,DB03310,P0CG29,1.0
7266,DB03310,P0CG30,1.0
7267,DB03310,O60760,1.0
7268,DB03312,O00142,1.0
7269,DB03312,Q91CQ6,1.0
7270,DB03312,P13159,1.0
7271,DB03585,Q9NZK7,1.0
7272,DB03614,Q99707,1.0
7273,DB03615,P0A7S3,1.0
7274,DB03615,P07237,1.0
7275,DB03615,P9WQG9,1.0
7276,DB03615,Q9R381,1.0
7277,DB03619,P07445,1.0
7278,DB03619,Q8GGK7,1.0
7279,DB03619,Q7Z2Z2,1.0
7280,DB03619,P54965,1.0
7281,DB03619,P25553,1.0
7282,DB03619,P31224,1.0
7283,DB03619,P33517,1.0
7284,DB03619,Q03736,1.0
7285,DB03619,Q96RI1,1.0
7286,DB03619,P09211,1.0
7287,DB03619,Q8TDU6,1.0
7288,DB03754,P05067,1.0
7289,DB03756,Q07869,1.0
7290,DB03756,P37231,1.0
7291,DB03756,P19793,1.0
7292,DB03756,P28702,1.0
7293,DB03756,P48443,1.0
7294,DB03756,P36956,1.0
7295,DB03766,P10724,1.0
7296,DB03766,Q9NQX3,1.0
7297,DB03766,P96965,1.0
7298,DB03793,Q9L9D7,1.0
7299,DB03793,O67987,1.0
7300,DB03793,P96965,1.0
7301,DB03793,Q01234,1.0
7302,DB03793,O31168,1.0
7303,DB03793,Q5PXQ6,1.0
7304,DB03793,Q52546,1.0
7305,DB03793,P14920,1.0
7306,DB03793,P46059,1.0
7307,DB03796,P08100,1.0
7308,DB03796,P10632,1.0
7309,DB03796,Q14541,1.0
7310,DB03796,P83812,1.0
7311,DB03796,O43617,1.0
7312,DB03796,Q9X1H9,1.0
7313,DB03796,P09466,1.0
7314,DB03796,P02689,1.0
7315,DB03796,P50897,1.0
7316,DB03796,P00709,1.0
7317,DB03796,Q07869,1.0
7318,DB03808,P0A0N5,1.0
7319,DB03808,P0A0N4,1.0
7320,DB03843,P15555,1.0
7321,DB03904,P05089,1.0
7322,DB03904,P00918,1.0
7323,DB03904,P35222,1.0
7324,DB03904,Q8XB74,1.0
7325,DB03904,P00378,1.0
7326,DB03929,Q05586,1.0
7327,DB03929,P23415,1.0
7328,DB03929,P36275,1.0
7329,DB03929,P29508,1.0
7330,DB04115,P0A0N5,1.0
7331,DB04115,O15392,1.0
7332,DB04160,P22939,1.0
7333,DB04173,P02943,1.0
7334,DB04209,P31224,1.0
7335,DB04209,P98170,1.0
7336,DB04209,P29973,1.0
7337,DB04209,Q12791,1.0
7338,DB04209,P0A0N4,1.0
7339,DB04221,P9WPB5,1.0
7340,DB04224,P02689,1.0
7341,DB04224,Q07869,1.0
7342,DB04224,Q03181,1.0
7343,DB04224,P19793,1.0
7344,DB04224,P37231,1.0
7345,DB04272,P07741,1.0
7346,DB04272,P15121,1.0
7347,DB04272,P40926,1.0
7348,DB04272,P12931,1.0
7349,DB04272,P12724,1.0
7350,DB04272,P04190,1.0
7351,DB04272,P00808,1.0
7352,DB04272,P39126,1.0
7353,DB04272,P05042,1.0
7354,DB04272,Q9X0N8,1.0
7355,DB04272,Q9HU22,1.0
7356,DB04272,P04079,1.0
7357,DB04272,Q9WZW1,1.0
7358,DB04272,P9WN39,1.0
7359,DB04272,P9WN38,1.0
7360,DB04272,P0A753,1.0
7361,DB04272,Q81F54,1.0
7362,DB04272,Q9LCX9,1.0
7363,DB04272,O34002,1.0
7364,DB04272,P33644,1.0
7365,DB04272,P83787,1.0
7366,DB04272,P13299,1.0
7367,DB04272,Q9GV41,1.0
7368,DB04272,P11922,1.0
7369,DB04272,P10930,1.0
7370,DB04272,Q2QJL3,1.0
7371,DB04272,P38516,1.0
7372,DB04272,P15086,1.0
7373,DB04272,P03277,1.0
7374,DB04272,O33833,1.0
7375,DB04272,A0A384KMD8,1.0
7376,DB04272,P46849,1.0
7377,DB04272,Q9HB21,1.0
7378,DB04272,P21408,1.0
7379,DB04272,Q9WZ40,1.0
7380,DB04272,Q9X286,1.0
7381,DB04272,P07360,1.0
7382,DB04272,Q9CBQ2,1.0
7383,DB04272,P44725,1.0
7384,DB04272,Q37875,1.0
7385,DB04272,Q9X1F0,1.0
7386,DB04272,P32427,1.0
7387,DB04272,P06672,1.0
7388,DB04272,P07998,1.0
7389,DB04272,P62312,1.0
7390,DB04272,Q9BY32,1.0
7391,DB04272,O75390,1.0
7392,DB04272,Q9GZU7,1.0
7393,DB04272,Q96RQ9,1.0
7394,DB04272,O14964,1.0
7395,DB04272,C7C422,1.0
7396,DB04339,P09211,1.0
7397,DB04348,P19835,1.0
7398,DB04348,Q96RI1,1.0
7399,DB04348,P51161,1.0
7400,DB04398,P09546,1.0
7401,DB04398,Q9RW27,1.0
7402,DB04465,P00722,1.0
7403,DB04465,Q9NZD2,1.0
7404,DB04465,P26514,1.0
7405,DB04465,Q7SI98,1.0
7406,DB04465,Q7Z4J2,1.0
7407,DB04465,P17931,1.0
7408,DB04465,Q02834,1.0
7409,DB04465,P16278,1.0
7410,DB04540,P35398,1.0
7411,DB04540,Q14994,1.0
